site,Lat,Lon,ER,VEG,PPT,TEMP,ELEV
1,Lat,Long,SeaIslands.C.Marsh,Shurbland.Grassland,1268.48,16.22,1
2,32.5,-80.46,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1263.14,18.83,0
3,35.93,-76.13,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.5,0
4,35.88,-75.94,Swamps.Peatlands,Shurbland.Grassland,1293.11,14.5,1
5,35.64,-75.98,Swamps.Peatlands,ForestOpenWoodland,1324.61,13.33,0
6,35.63,-75.99,Swamps.Peatlands,ForestOpenWoodland,1232.92,13.44,0
7,35.79,-75.91,Swamps.Peatlands,Shurbland.Grassland,1232.92,13.44,0
8,35.83,-75.89,Swamps.Peatlands,ForestOpenWoodland,1232.92,13.33,0
9,35.77,-75.91,Swamps.Peatlands,ForestOpenWoodland,1232.92,13.44,1
10,35.82,-75.9,Swamps.Peatlands,Shurbland.Grassland,1293.11,13.44,1
11,35.86,-75.97,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.11,0
12,35.77,-75.89,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.56,0
13,35.9,-75.94,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.56,0
14,35.85,-75.92,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.56,1
15,35.76,-75.94,Swamps.Peatlands,ForestOpenWoodland,1232.92,14.11,1
16,35.8,-75.88,Swamps.Peatlands,Shurbland.Grassland,1221.99,14.56,0
17,35.83,-75.8,Swamps.Peatlands,ForestOpenWoodland,1293.11,14.56,0
18,35.68,-75.96,Swamps.Peatlands,ForestOpenWoodland,1160.27,13.33,6
19,34.67,-77.75,Swamps.Peatlands,Shurbland.Grassland,1160.27,13.33,9
20,34.68,-77.78,V.B.Islands.C.Marshes,ForestOpenWoodland,1469.14,13.33,0
21,38.08,-75.21,C.B.Islands.C.Marshes,ForestOpenWoodland,1160.27,13.33,5
22,33.85,-77.97,C.B.Islands.C.Marshes,Shurbland.Grassland,1160.27,13.33,5
23,33.85,-77.98,D.Uplands,ForestOpenWoodland,1171.19,14.22,24
24,39.35,-75.74,D.Uplands,Modified,1224.28,14.22,14
25,39.34,-75.68,SeaIslands.C.Marsh,OpenWater,1283.46,13.33,8
26,32.54,-80.24,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1474.22,14.22,0
27,35.94,-76.4,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1474.22,13.33,0
28,35.95,-76.4,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1474.22,14.22,0
29,35.97,-76.43,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1474.22,14.22,1
30,35.96,-76.44,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,14.22,2
31,35.25,-75.58,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,14.22,3
32,35.25,-75.56,D.Uplands,ForestOpenWoodland,1152.14,13.33,4
33,37.26,-76.02,M.A.Floodplains,Shurbland.Grassland,1160.27,13.33,1
34,34.37,-77.94,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,13.33,3
35,35.25,-75.54,C.B.Islands.C.Marshes,OpenWater,1324.61,13.33,2
36,35.23,-75.52,C.B.Islands.C.Marshes,OpenWater,1324.61,14.22,1
37,35.44,-75.49,C.B.Islands.C.Marshes,Shurbland.Grassland,1232.92,13.44,1
38,35.13,-75.91,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,13.33,12
39,35.24,-75.61,C.B.Islands.C.Marshes,ForestOpenWoodland,1224.28,13.33,3
40,35.25,-75.54,C.B.Islands.C.Marshes,OpenWater,1324.61,13.33,1
41,35.38,-75.5,C.B.Islands.C.Marshes,Shurbland.Grassland,1324.61,13.33,1
42,35.53,-75.48,V.B.Islands.C.Marshes,Shurbland.Grassland,1469.14,13.33,2
43,38.77,-75.11,C.B.Islands.C.Marshes,Shurbland.Grassland,1160.27,13.33,1
44,34.92,-76.38,C.B.Islands.C.Marshes,Shurbland.Grassland,1160.27,13.33,3
45,34.97,-76.3,C.P.Lowlands.T.Marshes,Shurbland.Grassland,1171.19,14.22,2
46,34.9,-76.36,C.B.Islands.C.Marshes,Shurbland.Grassland,1160.27,13.33,2
47,34.96,-76.28,D.Uplands,ForestOpenWoodland,1138.43,13.61,0
48,38.49,-75.79,D.Uplands,ForestOpenWoodland,1171.19,14.22,2
49,38.49,-75.79,V.B.Islands.C.Marshes,ForestOpenWoodland,1171.19,14.22,3
50,37.91,-75.35,V.B.Islands.C.Marshes,ForestOpenWoodland,1187.7,14.39,1
51,37.98,-75.29,V.B.Islands.C.Marshes,OpenWater,1187.7,15.67,0
52,37.97,-75.31,V.B.Islands.C.Marshes,ForestOpenWoodland,1269.24,16.94,2
53,37.9,-75.37,V.B.Islands.C.Marshes,OpenWater,1232.92,15.67,3
54,36.47,-75.93,M.A.Floodplains,ForestOpenWoodland,1269.24,15.67,5
55,36.47,-76.92,M.A.Floodplains,Shurbland.Grassland,1269.24,15.67,2
56,36.52,-76.9,M.A.Floodplains,ForestOpenWoodland,1269.24,16.94,0
57,36.39,-76.76,M.A.Floodplains,ForestOpenWoodland,1269.24,15.67,0
58,36.39,-76.76,M.A.Floodplains,Cultural,1269.24,16.94,0
59,36.44,-76.96,M.A.Floodplains,Plantation,1269.24,15.67,0
60,36.43,-76.96,M.A.Floodplains,Cultural,1269.24,16.94,0
61,36.39,-76.84,M.A.Floodplains,ForestOpenWoodland,1269.24,16.94,13
62,34.3,-78.48,M.A.Floodplains,ForestOpenWoodland,1269.24,16.94,14
63,34.35,-78.49,C.Flatwoods,ForestOpenWoodland,-253974.6,15.67,4
64,35.04,-77.05,C.Flatwoods,Shurbland.Grassland,1269.24,16.94,6
65,34.82,-76.79,C.Flatwoods,OpenWater,1269.24,16.94,0
66,34.69,-77.09,C.Flatwoods,ForestOpenWoodland,-253974.6,15.67,0
67,34.82,-77.18,C.Flatwoods,ForestOpenWoodland,-253974.6,16.67,6
68,34.85,-77.13,C.B.Islands.C.Marshes,ForestOpenWoodland,1269.24,16.67,2
69,34.77,-76.76,Swamps.Peatlands,Shurbland.Grassland,1421.13,18.17,8
70,34.76,-77.01,C.Flatwoods,ForestOpenWoodland,1421.13,18.17,4
71,35.03,-77.14,C.Flatwoods,ForestOpenWoodland,1221.99,16.39,7
72,34.78,-76.96,C.Flatwoods,ForestOpenWoodland,1221.99,16.39,2
73,34.91,-76.83,C.Flatwoods,ForestOpenWoodland,1221.99,16.39,5
74,34.81,-77.09,V.B.Islands.C.Marshes,ForestOpenWoodland,1221.99,16.39,0
75,36.39,-75.83,V.B.Islands.C.Marshes,Shurbland.Grassland,1474.22,17,2
76,38.59,-75.06,D.Uplands,ForestOpenWoodland,1474.22,17,11
77,38.46,-75.32,D.Uplands,ForestOpenWoodland,1469.14,17.11,9
78,38.5,-75.26,D.Uplands,ForestOpenWoodland,1474.22,17,11
79,38.47,-75.32,Swamps.Peatlands,ForestOpenWoodland,1474.22,17,16
80,36.53,-76.37,Swamps.Peatlands,Shurbland.Grassland,1474.22,17,18
81,36.55,-76.42,Swamps.Peatlands,Shurbland.Grassland,1478.03,16.83,17
82,36.53,-76.47,Swamps.Peatlands,ForestOpenWoodland,1474.22,17,5
83,36.55,-76.45,C.Flatwoods,ForestOpenWoodland,1474.22,17,7
84,32.68,-80.57,C.Flatwoods,ForestOpenWoodland,1474.22,17,1
85,32.68,-80.59,C.Flatwoods,ForestOpenWoodland,1474.22,17,6
86,32.71,-80.59,SeaIslands.C.Marsh,ForestOpenWoodland,1451.1,17.56,3
87,32.66,-80.58,D.Uplands,Plantation,1451.1,17.56,9
88,38.56,-75.88,SeaIslands.C.Marsh,Shurbland.Grassland,1451.1,17.56,13
89,32.56,-80.23,SeaIslands.C.Marsh,ForestOpenWoodland,1451.1,17.56,25
90,32.55,-80.27,SeaIslands.C.Marsh,ForestOpenWoodland,1451.1,15.72,16
91,32.56,-80.27,Swamps.Peatlands,ForestOpenWoodland,1216.66,14.56,0
92,35.73,-76.09,Swamps.Peatlands,Shurbland.Grassland,1216.66,14.56,0
93,35.72,-76.06,V.B.Islands.C.Marshes,OpenWater,1224.28,15.44,0
94,38.5,-75.06,C.Flatwoods,Plantation,1224.28,15.44,6
95,33.17,-79.5,SeaIslands.C.Marsh,OpenSpace,1216.66,14.56,4
96,33.04,-79.56,C.Flatwoods,ForestOpenWoodland,1216.66,14.56,3
97,33.2,-79.48,C.Flatwoods,ForestOpenWoodland,1216.66,14.56,26
98,33.17,-79.65,C.Flatwoods,ForestOpenWoodland,1268.48,16.22,20
99,33.23,-79.78,M.A.Floodplains,ForestOpenWoodland,1268.48,16.22,11
100,33.24,-79.52,M.A.Floodplains,ForestOpenWoodland,1339.85,17.11,20
101,33.28,-79.62,C.Flatwoods,ForestOpenWoodland,1499.11,17.67,22
102,33.24,-79.69,C.Flatwoods,ForestOpenWoodland,1339.85,16.78,21
103,33.07,-79.61,SeaIslands.C.Marsh,ForestOpenWoodland,1455.67,15.56,4
104,32.95,-79.76,SeaIslands.C.Marsh,ForestOpenWoodland,1455.67,15.56,4
105,32.95,-79.76,M.A.Floodplains,Plantation,1499.11,17.67,21
106,33.35,-79.79,C.Flatwoods,Shurbland.Grassland,-253974.6,16.78,6
107,33.2,-79.52,SeaIslands.C.Marsh,Plantation,1363.47,16.83,6
108,33.14,-79.49,M.A.Floodplains,ForestOpenWoodland,-253974.6,16.78,16
109,33.25,-79.58,C.Flatwoods,ForestOpenWoodland,1425.7,17.33,28
110,33.25,-79.81,C.Flatwoods,ForestOpenWoodland,-253974.6,16.78,11
111,33.13,-79.61,C.Flatwoods,ForestOpenWoodland,1183.13,15.83,21
112,33.1,-79.61,C.Flatwoods,Shurbland.Grassland,1216.66,14.06,21
113,33.06,-79.63,C.Flatwoods,ForestOpenWoodland,-253974.6,14.06,21
114,33.13,-79.59,C.Flatwoods,ForestOpenWoodland,1425.7,14.06,25
115,33.27,-79.84,C.P.Lowlands.T.Marshes,ForestOpenWoodland,1160.27,14.06,0
116,38.43,-76.28,Swamps.Peatlands,ForestOpenWoodland,1474.22,15.67,19
117,36.58,-76.41,Swamps.Peatlands,ForestOpenWoodland,1153.92,15.67,5
118,36.51,-76.49,Swamps.Peatlands,ForestOpenWoodland,1153.92,14.06,22
